time_stamp	sensor_type	NIS	
1477010466000000	lidar	2.33116	
1477010466050000	radar	0.124303	
1477010466100000	lidar	1.71008	
1477010466150000	radar	0.668999	
1477010466200000	lidar	0.219406	
1477010466250000	radar	0.251628	
1477010466300000	lidar	1.15895	
1477010466350000	radar	8.23898	
1477010466400000	lidar	0.474298	
1477010466450000	radar	6.39637	
1477010466500000	lidar	1.91598	
1477010466550000	radar	0.649605	
1477010466600000	lidar	8.72708	
1477010466650000	radar	2.20469	
1477010466700000	lidar	0.448148	
1477010466750000	radar	0.263522	
1477010466800000	lidar	4.06841	
1477010466850000	radar	1.49778	
1477010466900000	lidar	1.7423	
1477010466950000	radar	0.644267	
1477010467000000	lidar	1.96542	
1477010467050000	radar	2.76205	
1477010467100000	lidar	0.730199	
1477010467150000	radar	9.87022	
1477010467200000	lidar	2.88241	
1477010467250000	radar	0.147066	
1477010467300000	lidar	0.930513	
1477010467350000	radar	6.65883	
1477010467400000	lidar	1.93683	
1477010467450000	radar	4.089	
1477010467500000	lidar	0.598728	
1477010467550000	radar	2.75231	
1477010467600000	lidar	0.882947	
1477010467650000	radar	6.60675	
1477010467700000	lidar	6.55125	
1477010467750000	radar	1.37335	
1477010467800000	lidar	4.12762	
1477010467850000	radar	2.0469	
1477010467900000	lidar	0.475193	
1477010467950000	radar	3.90317	
